dataset,ROCKET-10000+HCF-6+Inception-ppv+lspv+mpv+mipv,ROCKET-10000+HCF-6+Inception-ppv+lspv+mpv+mipv+GAP+max,MultiROCKET-40000+HCF-6+Inception-ppv+lspv+mpv+mipv,MultiROCKET-40000+HCF-6+Inception-ppv,ROCKET-10000+HCF-6+Inception-ppv,accuracy_mean,accuracy,PPV+LSPV+MPV+MIPV_base+1st_50k
ACSF1,0.928,0.938,0.906,0.924,0.93,0.886,0.8960000000000001,0.92
Adiac,0.8225063938618927,0.8327365728900256,0.8393861892583121,0.8521739130434781,0.8368286445012787,0.78337596,0.8296675191815857,0.8337595907928389
ArrowHead,0.8857142857142858,0.8754285714285714,0.870857142857143,0.8731428571428571,0.8605714285714285,0.81428571,0.8468571428571428,0.8685714285714285
BME,1.0,0.9986666666666666,0.9933333333333332,0.9933333333333332,0.9933333333333332,1.0,0.9933333333333332,1.0
Beef,0.72,0.72,0.72,0.72,0.6799999999999999,0.83333333,0.6866666666666666,0.7666666666666667
BeetleFly,0.8299999999999998,0.8399999999999999,0.8800000000000001,0.86,0.91,0.9,0.8,0.85
BirdChicken,0.95,0.95,0.95,0.9,0.92,0.9,0.95,0.9
Car,0.9,0.9033333333333332,0.8966666666666667,0.9166666666666666,0.9166666666666666,0.84666667,0.89,0.9166666666666666
Chinatown,0.9825072886297376,0.9825072886297376,0.9760932944606412,0.9825072886297376,0.9825072886297376,0.98250729,0.9830903790087462,0.979591836734694
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.7208,0.7303999999999998,0.7448,0.7816000000000001,0.7544000000000001,0.7612,0.7856,0.784
Crop,0.7510238095238095,0.7507619047619049,0.7442738095238095,0.75125,0.753952380952381,0.75134524,0.7510357142857143,0.7747619047619048
DiatomSizeReduction,0.9477124183006536,0.9477124183006536,0.9712418300653594,0.9261437908496732,0.9431372549019608,0.96993464,0.934640522875817,0.9607843137254902
DistalPhalanxOutlineAgeGroup,0.7741007194244605,0.7741007194244605,0.7755395683453238,0.7553956834532374,0.7438848920863309,0.75899281,0.7338129496402878,0.7697841726618705
DistalPhalanxOutlineCorrect,0.7478260869565216,0.751449275362319,0.7608695652173914,0.7463768115942029,0.7478260869565218,0.76956522,0.7681159420289856,0.8007246376811594
DistalPhalanxTW,0.6446043165467625,0.6474820143884892,0.6474820143884892,0.6316546762589927,0.637410071942446,0.71870504,0.6647482014388488,0.6906474820143885
DodgerLoopDay,0.5799999999999998,0.5925,0.48,0.5825,0.645,0.5725,0.15,0.6
DodgerLoopGame,0.8710144927536232,0.8681159420289856,0.8884057971014492,0.8405797101449275,0.8623188405797102,0.87318841,0.8536231884057971,0.8333333333333334
DodgerLoopWeekend,0.9855072463768118,0.9855072463768118,0.9840579710144928,0.9782608695652174,0.9855072463768118,0.97463768,0.9695652173913043,0.9782608695652174
ECG200,0.916,0.926,0.9200000000000002,0.938,0.936,0.906,0.9179999999999999,0.92
ECGFiveDays,1.0,1.0,1.0,0.9988385598141696,0.9979094076655052,1.0,1.0,1.0
