dataset,ROCKET-10000+HCF-6+Inception-ppv+lspv+mpv+mipv,ROCKET-10000+HCF-6+Inception-ppv+lspv+mpv+mipv+GAP+max,MultiROCKET-40000+HCF-6+Inception-ppv+lspv+mpv+mipv,MultiROCKET-40000+HCF-6+Inception-ppv,ROCKET-10000+HCF-6+Inception-ppv
ACSF1,0.928,0.938,0.906,0.924,0.93
Adiac,0.8225063938618927,0.8327365728900256,0.8393861892583121,0.8521739130434781,0.8368286445012787
ArrowHead,0.8857142857142858,0.8754285714285714,0.870857142857143,0.8731428571428571,0.8605714285714285
BME,1.0,0.9986666666666666,0.9933333333333332,0.9933333333333332,0.9933333333333332
Beef,0.72,0.72,0.72,0.72,0.6799999999999999
BeetleFly,0.8299999999999998,0.8399999999999999,0.8800000000000001,0.86,0.91
BirdChicken,0.95,0.95,0.95,0.9,0.92
Car,0.9,0.9033333333333332,0.8966666666666667,0.9166666666666666,0.9166666666666666
Chinatown,0.9825072886297376,0.9825072886297376,0.9760932944606412,0.9825072886297376,0.9825072886297376
Coffee,1.0,1.0,1.0,1.0,1.0
Computers,0.7208,0.7303999999999998,0.7448,0.7816000000000001,0.7544000000000001
Crop,0.7510238095238095,0.7507619047619049,0.7442738095238095,0.75125,0.753952380952381
DiatomSizeReduction,0.9477124183006536,0.9477124183006536,0.9712418300653594,0.9261437908496732,0.9431372549019608
DistalPhalanxOutlineAgeGroup,0.7741007194244605,0.7741007194244605,0.7755395683453238,0.7553956834532374,0.7438848920863309
DistalPhalanxOutlineCorrect,0.7478260869565216,0.751449275362319,0.7608695652173914,0.7463768115942029,0.7478260869565218
DistalPhalanxTW,0.6446043165467625,0.6474820143884892,0.6474820143884892,0.6316546762589927,0.637410071942446
DodgerLoopDay,0.5799999999999998,0.5925,0.48,0.5825,0.645
DodgerLoopGame,0.8710144927536232,0.8681159420289856,0.8884057971014492,0.8405797101449275,0.8623188405797102
DodgerLoopWeekend,0.9855072463768118,0.9855072463768118,0.9840579710144928,0.9782608695652174,0.9855072463768118
ECG200,0.916,0.926,0.9200000000000002,0.938,0.936
ECGFiveDays,1.0,1.0,1.0,0.9988385598141696,0.9979094076655052
Earthquakes,0.7410071942446043,0.7424460431654676,0.7323741007194244,0.7381294964028776,0.7438848920863308
FaceFour,0.9545454545454548,0.9545454545454548,0.9340909090909092,0.9545454545454548,0.9568181818181818
FiftyWords,0.8545054945054945,0.8523076923076923,0.8334065934065935,0.8342857142857142,0.8250549450549449
Fish,0.9805714285714286,0.9771428571428572,0.9817142857142857,0.9805714285714286,0.9748571428571428
FordA,0.9348484848484848,0.9387878787878788,0.9136363636363636,0.9596969696969696,0.9587878787878787
GunPoint,0.996,0.9986666666666666,0.9946666666666666,1.0,1.0
Ham,0.699047619047619,0.6933333333333334,0.6933333333333334,0.660952380952381,0.6571428571428571
Haptics,0.5298701298701298,0.522077922077922,0.5597402597402598,0.5058441558441559,0.5428571428571428
Herring,0.640625,0.65,0.709375,0.675,0.671875
HouseTwenty,0.9529411764705882,0.9495798319327732,0.961344537815126,0.9663865546218486,0.9663865546218486
InlineSkate,0.448,0.4625454545454545,0.4927272727272727,0.477090909090909,0.4625454545454546
LargeKitchenAppliances,0.8896000000000001,0.8970666666666667,0.8880000000000001,0.8933333333333333,0.8768
Lightning2,0.8065573770491804,0.8098360655737704,0.8032786885245902,0.8065573770491803,0.8360655737704918
Lightning7,0.8301369863013699,0.821917808219178,0.8082191780821919,0.8602739726027396,0.8
Meat,0.9766666666666666,0.9666666666666668,0.9766666666666666,0.95,0.9666666666666668
MedicalImages,0.7842105263157895,0.7813157894736843,0.7805263157894736,0.78,0.7849999999999999
MiddlePhalanxTW,0.535064935064935,0.5389610389610389,0.5324675324675324,0.5233766233766233,0.5181818181818182
OSULeaf,0.9355371900826446,0.941322314049587,0.9512396694214876,0.9396694214876034,0.9272727272727274
OliveOil,0.78,0.7733333333333333,0.78,0.8066666666666666,0.8333333333333334
